nct_id,pmid,pubmed_year,pubmed_journal,pubmed_title
NCT00056472,22464991,2012,Psychiatry research,Factors associated with non-completion in a double-blind randomized controlled trial of olanzapine plus sertraline versus olanzapine plus placebo for psychotic depression.
NCT00056472,19652123,2009,Archives of general psychiatry,A double-blind randomized controlled trial of olanzapine plus sertraline vs olanzapine plus placebo for psychotic depression: the study of pharmacotherapy of psychotic depression (STOP-PD).
NCT00056472,18724788,2008,Suicide & life-threatening behavior,Correlates of suicidality among patients with psychotic depression.
NCT00056472,18408527,2008,International clinical psychopharmacology,Weight gain during olanzapine treatment for psychotic depression: effects of dose and age.
NCT00056472,18384244,2008,The Journal of clinical psychiatry,Missed diagnosis of psychotic depression at 4 academic medical centers.
NCT00056472,17335316,2007,The Journal of clinical psychiatry,Persisting low use of antipsychotics in the treatment of major depressive disorder with psychotic features.
NCT00602355,30447565,2019,Journal of affective disorders,A placebo controlled treatment trial of sertraline and interpersonal psychotherapy for postpartum depression.
NCT00485862,19969374,2010,Psychiatry research,Genetic polymorphisms in the treatment of depression: speculations from an augmentation study using atomoxetine.
NCT02901249,28832750,2018,"Revista brasileira de psiquiatria (Sao Paulo, Brazil : 1999)",Effectiveness evaluation of mood disorder treatment algorithms in Brazilian public healthcare patients.
NCT02493868,38557430,2024,CNS spectrums,Effects of esketamine nasal spray on depressive symptom severity in adults with treatment-resistant depression and associations between the Montgomery-Åsberg Depression Rating Scale and the 9-item Patient Health Questionnaire.
NCT02493868,37558912,2023,CNS drugs,Efficacy and Safety of Esketamine Nasal Spray in Patients with Treatment-Resistant Depression Who Completed a Second Induction Period: Analysis of the Ongoing SUSTAIN-3 Study.
NCT02493868,36149841,2022,The Journal of clinical psychiatry,Longitudinal Course of Adverse Events With Esketamine Nasal Spray: A Post Hoc Analysis of Pooled Data From Phase 3 Trials in Patients With Treatment-Resistant Depression.
NCT02493868,35022754,2022,The international journal of neuropsychopharmacology,Relationship Between Dissociation and Antidepressant Effects of Esketamine Nasal Spray in Patients With Treatment-Resistant Depression.
NCT02493868,34235612,2021,CNS drugs,"Effect of Esketamine Nasal Spray on Olfactory Function and Nasal Tolerability in Patients with Treatment-Resistant Depression: Results from Four Multicenter, Randomized, Double-Blind, Placebo-Controlled, Phase III Studies."
NCT02493868,32860422,2021,Clinical pharmacology and therapeutics,Benefit-Risk Assessment of Esketamine Nasal Spray vs. Placebo in Treatment-Resistant Depression.
NCT02493868,31166571,2019,JAMA psychiatry,Efficacy of Esketamine Nasal Spray Plus Oral Antidepressant Treatment for Relapse Prevention in Patients With Treatment-Resistant Depression: A Randomized Clinical Trial.
NCT00233103,19406291,2009,Archives of physical medicine and rehabilitation,A randomized controlled trial of sertraline for the treatment of depression in persons with traumatic brain injury.
NCT01028482,22401479,2012,The Journal of clinical psychiatry,"The effect of sertraline add-on to brief dynamic psychotherapy for the treatment of postpartum depression: a randomized, double-blind, placebo-controlled study."
NCT03978286,25690005,2015,Diabetes care,Cognitive Behavioral Therapy Versus Sertraline in Patients With Depression and Poorly Controlled Diabetes: The Diabetes and Depression (DAD) Study: A Randomized Controlled Multicenter Trial.
NCT03978286,30287230,2019,Primary care diabetes,"Impact of sertraline on weight, waist circumference and glycemic control: A prospective clinical trial on depressive diabetic type 2 patients."
NCT03978286,25628505,2015,P & T : a peer-reviewed journal for formulary management,Vortioxetine (brintellix): a new serotonergic antidepressant.
NCT03978286,29792585,2019,CNS spectrums,Assessment in Work Productivity and the Relationship with Cognitive Symptoms (AtWoRC): primary analysis from a Canadian open-label study of vortioxetine in patients with major depressive disorder (MDD).
NCT03978286,22973359,2011,Journal of research in medical sciences : the official journal of Isfahan University of Medical Sciences,"The effects of sertraline on blood lipids, glucose, insulin and HBA1C levels: A prospective clinical trial on depressive patients."
NCT03978286,25249164,2014,Current medical research and opinion,Relative efficacy and tolerability of vortioxetine versus selected antidepressants by indirect comparisons of similar clinical studies.
NCT03978286,25995125,2015,The lancet. Diabetes & endocrinology,Depression and diabetes: treatment and health-care delivery.
NCT03978286,26209859,2015,The international journal of neuropsychopharmacology,The Cognitive Effects of Antidepressants in Major Depressive Disorder: A Systematic Review and Meta-Analysis of Randomized Clinical Trials.
NCT03978286,31930057,2019,Annals of translational medicine,"Vortioxetine versus sertraline in metabolic control, distress and depression in Mexican patients with type 2 diabetes."
NCT00005013,11939866,2002,JAMA,Effect of Hypericum perforatum (St John's wort) in major depressive disorder: a randomized controlled trial.
NCT00005013,15876903,2005,Journal of clinical psychopharmacology,Hyperforin plasma level as a marker of treatment adherence in the National Institutes of Health Hypericum Depression Trial.
NCT00005013,25544195,2015,Asian journal of psychiatry,Association between physician beliefs regarding assigned treatment and clinical response: re-analysis of data from the Hypericum Depression Trial Study Group.
NCT00005013,24232445,2014,Psychopharmacology,The impact of missing data on clinical trials: a re-analysis of a placebo controlled trial of Hypericum perforatum (St Johns wort) and sertraline in major depressive disorder.
NCT00005013,22592504,2012,Pharmacopsychiatry,St John's wort (Hypericum perforatum) versus sertraline and placebo in major depressive disorder: continuation data from a 26-week RCT.
NCT00005013,22053942,2011,The Journal of clinical psychiatry,Association between patient beliefs regarding assigned treatment and clinical response: reanalysis of data from the Hypericum Depression Trial Study Group.
NCT00508859,18759650,2008,Journal of child and adolescent psychopharmacology,Maintenance study for adolescent depression.
NCT00624013,19729522,2009,Diabetes care,"Effect of pharmacological treatment of depression on A1C and quality of life in low-income Hispanics and African Americans with diabetes: a randomized, double-blind, placebo-controlled trial."
NCT02422186,34235612,2021,CNS drugs,"Effect of Esketamine Nasal Spray on Olfactory Function and Nasal Tolerability in Patients with Treatment-Resistant Depression: Results from Four Multicenter, Randomized, Double-Blind, Placebo-Controlled, Phase III Studies."
NCT02422186,33128208,2021,Clinical pharmacokinetics,Population Pharmacokinetics of Esketamine Nasal Spray and its Metabolite Noresketamine in Healthy Subjects and Patients with Treatment-Resistant Depression.
NCT02422186,32860422,2021,Clinical pharmacology and therapeutics,Benefit-Risk Assessment of Esketamine Nasal Spray vs. Placebo in Treatment-Resistant Depression.
NCT00302068,11020092,2000,Psychosomatic medicine,Exercise treatment for major depression: maintenance of therapeutic benefit at 10 months.
NCT00302068,10547175,1999,Archives of internal medicine,Effects of exercise training on older patients with major depression.
NCT00302068,15811982,2005,JAMA,Effects of exercise and stress management training on markers of cardiovascular risk in patients with ischemic heart disease: a randomized controlled trial.
NCT00302068,15626549,2005,American journal of preventive medicine,Exercise treatment for depression: efficacy and dose response.
NCT00302068,12392873,2002,Controlled clinical trials,The DOSE study: a clinical trial to examine efficacy and dose response of exercise as treatment for depression.
NCT00302068,15184688,2004,Psychosomatic medicine,"Depression as a risk factor for coronary artery disease: evidence, mechanisms, and treatment."
NCT00302068,22858387,2012,Journal of the American College of Cardiology,Exercise and pharmacological treatment of depressive symptoms in patients with coronary heart disease: results from the UPBEAT (Understanding the Prognostic Benefits of Exercise and Antidepressant Therapy) study.
NCT00666757,25080392,2014,Journal of affective disorders,"Application of the Gradient Boosted method in randomised clinical trials: Participant variables that contribute to depression treatment efficacy of duloxetine, SSRIs or placebo."
NCT00666757,22027844,2012,International clinical psychopharmacology,"A pragmatic 12-week, randomized trial of duloxetine versus generic selective serotonin-reuptake inhibitors in the treatment of adult outpatients in a moderate-to-severe depressive episode."
NCT00208702,22964160,2012,Journal of psychiatric research,The combination of triiodothyronine (T3) and sertraline is not superior to sertraline monotherapy in the treatment of major depressive disorder.
NCT00001483,2500425,1989,The Journal of clinical psychiatry,Seizures and bupropion: a review.
NCT00001483,7929019,1994,The Journal of clinical psychiatry,A double-blind trial of bupropion versus desipramine for bipolar depression.
NCT00001483,8279933,1994,Archives of general psychiatry,Lifetime and 12-month prevalence of DSM-III-R psychiatric disorders in the United States. Results from the National Comorbidity Survey.
NCT00835627,11914432,2002,Neurology,How many patients with psychogenic nonepileptic seizures also have epilepsy?
NCT00835627,12609316,2002,Epilepsy & behavior : E&B,Treatment of nonepileptic seizures.
NCT00835627,15186340,2004,Epilepsia,The treatment of nonepileptic seizures: historical perspectives and future directions.
NCT00835627,16150653,2005,Epilepsy & behavior : E&B,Update on treatments of psychological nonepileptic seizures.
NCT00835627,16540377,2006,Epilepsy & behavior : E&B,Nonepileptic seizures treatment workshop summary.
NCT00835627,16636265,2006,Neurology,Use of serum prolactin in diagnosing epileptic seizures: report of the Therapeutics and Technology Assessment Subcommittee of the American Academy of Neurology.
NCT00835627,16769930,2006,Neurology,Avoiding the costs of unrecognized psychological nonepileptic seizures.
NCT00835627,18070841,2007,The Journal of neuropsychiatry and clinical neurosciences,Methodological issues in conducting treatment trials for psychological nonepileptic seizures.
NCT00835627,18282812,2008,Epilepsy & behavior : E&B,"What is ""treatment as usual"" for nonepileptic seizures?"
NCT00835627,18317280,2008,Current opinion in neurology,Psychogenic nonepileptic seizures.
NCT00835627,24111933,2013,Epilepsia,Minimum requirements for the diagnosis of psychogenic nonepileptic seizures: a staged approach: a report from the International League Against Epilepsy Nonepileptic Seizures Task Force.
NCT00835627,23458467,2013,Epilepsia,Management of psychogenic nonepileptic seizures.
NCT00835627,23281644,2013,Epilepsia,Traumatic brain injury and psychogenic nonepileptic seizures yield worse outcomes.
NCT00835627,21299547,2011,Epilepsia,Impact of family functioning on quality of life in patients with psychogenic nonepileptic seizures versus epilepsy.
NCT00835627,24989152,2014,JAMA psychiatry,Multicenter pilot treatment trial for psychogenic nonepileptic seizures: a randomized clinical trial.
NCT00078286,20723799,2010,Journal of the American College of Cardiology,Safety and efficacy of sertraline for depression in patients with heart failure: results of the SADHART-CHF (Sertraline Against Depression and Heart Disease in Chronic Heart Failure) trial.
NCT00078286,26186432,2015,Psychosomatic medicine,Inflammation Markers and Major Depressive Disorder in Patients With Chronic Heart Failure: Results From the Sertraline Against Depression and Heart Disease in Chronic Heart Failure Study.
NCT00078286,20101071,2010,Journal of geriatric psychiatry and neurology,Metabolomic differences in heart failure patients with and without major depression.
NCT00078286,18760123,2008,American heart journal,"Safety and efficacy of sertraline for depression in patients with CHF (SADHART-CHF): a randomized, double-blind, placebo-controlled trial of sertraline for major depression with congestive heart failure."
NCT00116857,19843899,2009,JAMA,Omega-3 augmentation of sertraline in treatment of depression in patients with coronary heart disease: a randomized controlled trial.
NCT00116857,34817851,2021,The Cochrane database of systematic reviews,Omega-3 fatty acids for depression in adults.
NCT00116857,26930527,2016,The Journal of clinical psychiatry,Baseline blood levels of omega-3 and depression remission: a secondary analysis of data from a placebo-controlled trial of omega-3 supplements.
NCT00116857,21665007,2011,Journal of psychosomatic research,Inflammation and treatment response to sertraline in patients with coronary heart disease and comorbid major depression.
NCT00351910,26474010,2015,Journal of clinical psychopharmacology,Early Symptom Improvement as a Predictor of Response to Extended Release Quetiapine in Major Depressive Disorder.
NCT00351910,24816198,2014,The Journal of clinical psychiatry,Extended release quetiapine fumarate in patients with major depressive disorder: suicidality data from acute and maintenance studies.
NCT00351910,24175721,2013,Expert review of neurotherapeutics,Extended-release quetiapine fumarate in the treatment of patients with major depressive disorder: adjunct therapy.
NCT00351910,24108148,2014,International clinical psychopharmacology,Pooled analysis of adjunct extended-release quetiapine fumarate in patients with major depressive disorder according to ongoing SSRI or SNRI treatment.
NCT00351910,24067192,2014,CNS spectrums,Sexual functioning in patients with major depressive disorder in randomized placebo-controlled studies of extended release quetiapine fumarate.
NCT00351910,23672772,2013,The international journal of neuropsychopharmacology,Evaluation of adjunct extended-release quetiapine fumarate on sleep disturbance and quality in patients with major depressive disorder and an inadequate response to on-going antidepressant therapy.
NCT00351910,23497790,2013,Journal of affective disorders,Pooled analysis of sustained response rates for extended release quetiapine fumarate as monotherapy or adjunct to antidepressant therapy in patients with major depressive disorder.
NCT00351910,19358791,2009,The Journal of clinical psychiatry,"Extended-release quetiapine as adjunct to an antidepressant in patients with major depressive disorder: results of a randomized, placebo-controlled, double-blind study."
NCT01098318,25837277,2015,Phytomedicine : international journal of phytotherapy and phytopharmacology,Rhodiola rosea versus sertraline for major depressive disorder: A randomized placebo-controlled trial.
NCT01109693,29991347,2018,BMC medicine,"Optimising first- and second-line treatment strategies for untreated major depressive disorder - the SUN☺D study: a pragmatic, multi-centre, assessor-blinded randomised controlled trial."
NCT01109693,26466684,2015,Trials,Strategic use of new generation antidepressants for depression: SUN(^_^) D protocol update and statistical analysis plan.
NCT01109693,22682213,2012,Trials,The first 100 patients in the SUN(^_^)D trial (strategic use of new generation antidepressants for depression): examination of feasibility and adherence during the pilot phase.
NCT01109693,21569309,2011,Trials,Strategic use of new generation antidepressants for depression: SUN(^_^)D study protocol.
NCT00531518,26766751,2016,"Psychiatric services (Washington, D.C.)","Early Detection, Intervention and Prevention of Psychosis Program: Community Outreach and Early Identification at Six U.S. Sites."
NCT00531518,25065017,2015,Schizophrenia bulletin,Clinical and functional outcomes after 2 years in the early detection and intervention for the prevention of psychosis multisite effectiveness trial.
NCT00182078,15994712,2005,The American journal of psychiatry,"Pathways to PTSD, part I: Children with burns."
NCT00182078,11589526,2001,Journal of the American Academy of Child and Adolescent Psychiatry,Ten-year research review of physical injuries.
NCT00182078,11501691,2001,Journal of the American Academy of Child and Adolescent Psychiatry,Relationship between acute morphine and the course of PTSD in children with burns.
NCT00182078,11882804,2002,The Journal of burn care & rehabilitation,Treatment of pain in acutely burned children.
NCT00182078,12874500,2003,Journal of the American Academy of Child and Adolescent Psychiatry,Child Stress Disorders Checklist: a measure of ASD and PTSD in children.
NCT00182078,11379543,2001,Critical care medicine,"A new frontier: posttraumatic stress and its prevention, diagnosis, and treatment."
NCT00182078,16797442,2006,Child and adolescent psychiatric clinics of North America,Psychopharmacology in pediatric critical care.
NCT00182078,22040192,2011,Journal of child and adolescent psychopharmacology,A randomized controlled trial of sertraline to prevent posttraumatic stress disorder in burned children.
NCT00182078,38767196,2024,The Cochrane database of systematic reviews,Early pharmacological interventions for prevention of post-traumatic stress disorder (PTSD) in individuals experiencing acute traumatic stress symptoms.
NCT00182078,35141873,2022,The Cochrane database of systematic reviews,Early pharmacological interventions for universal prevention of post-traumatic stress disorder (PTSD).
NCT02655354,38287923,2024,Trauma surgery & acute care open,Can stepped collaborative care interventions improve post-traumatic stress disorder symptoms for racial and ethnic minority injury survivors?
NCT02655354,37085877,2023,Trials,Integrating pragmatic and implementation science randomized clinical trial approaches: a PRagmatic Explanatory Continuum Indicator Summary-2 (PRECIS-2) analysis.
NCT02655354,35979039,2022,Trauma surgery & acute care open,Post-traumatic stress disorder (PTSD) symptoms and alcohol and drug use comorbidity at 25 US level I trauma centers.
NCT02655354,34932440,2022,Psychiatry,A Pragmatic Clinical Trial Approach to Assessing and Monitoring Suicidal Ideation: Results from A National US Trauma Care System Study.
NCT02655354,34225296,2021,Annals of surgery,A Prospective US National Trauma Center Study of Firearm Injury Survivors Weapon Carriage and Posttraumatic Stress Disorder Symptoms.
NCT02655354,33688908,2021,JAMA surgery,Stepped Collaborative Care Targeting Posttraumatic Stress Disorder Symptoms and Comorbidity for US Trauma Care Systems: A Randomized Clinical Trial.
NCT02655354,27130272,2016,Implementation science : IS,An effectiveness-implementation hybrid trial study protocol targeting posttraumatic stress disorder and comorbidity.
NCT00179283,17196045,2006,The Journal of clinical psychiatry,"A randomized, double-blind, active-control study of sertraline versus venlafaxine XR in major depressive disorder."
NCT03779789,32746941,2020,Trials,"Tolerability and efficacy of vortioxetine versus SSRIs in elderly with major depression. Study protocol of the VESPA study: a pragmatic, multicentre, open-label, parallel-group, superiority, randomized trial."
NCT03779789,40679716,2025,Drugs & aging,Efficacy and Tolerability of Vortioxetine Versus Selective Serotonin Reuptake Inhibitors for Late-Life Depression: A Post-hoc Analysis of the VESPA Study.
NCT03779789,38384338,2024,EClinicalMedicine,"Tolerability of vortioxetine compared to selective serotonin reuptake inhibitors in older adults with major depressive disorder (VESPA): a randomised, assessor-blinded and statistician-blinded, multicentre, superiority trial."
NCT00331305,10547175,1999,Archives of internal medicine,Effects of exercise training on older patients with major depression.
NCT00331305,16223547,2005,Neurobiology of aging,Exercise training and depression in older adults.
NCT00331305,26867076,2016,Psychosomatic medicine,Effects of Exercise and Sertraline on Measures of Coronary Heart Disease Risk in Patients With Major Depression: Results From the SMILE-II Randomized Clinical Trial.
NCT00331305,21148807,2011,Psychosomatic medicine,Exercise and pharmacotherapy in patients with major depression: one-year follow-up of the SMILE study.
NCT00331305,17846259,2007,Psychosomatic medicine,Exercise and pharmacotherapy in the treatment of major depressive disorder.
NCT02955719,12053639,2002,Canadian family physician Medecin de famille canadien,Shared mental health care. Update from the Collaborative Working Group of the College of Family Physicians of Canada and the Canadian Psychiatric Association.
NCT00078767,17581445,2007,Journal of the American Academy of Child and Adolescent Psychiatry,A pilot randomized controlled trial of combined trauma-focused CBT and sertraline for childhood PTSD symptoms.
NCT00159965,15186340,2004,Epilepsia,The treatment of nonepileptic seizures: historical perspectives and future directions.
NCT00159965,11914432,2002,Neurology,How many patients with psychogenic nonepileptic seizures also have epilepsy?
NCT00159965,16540377,2006,Epilepsy & behavior : E&B,Nonepileptic seizures treatment workshop summary.
NCT00159965,16150653,2005,Epilepsy & behavior : E&B,Update on treatments of psychological nonepileptic seizures.
NCT00159965,18282812,2008,Epilepsy & behavior : E&B,"What is ""treatment as usual"" for nonepileptic seizures?"
NCT00159965,18317280,2008,Current opinion in neurology,Psychogenic nonepileptic seizures.
NCT00159965,12609316,2002,Epilepsy & behavior : E&B,Treatment of nonepileptic seizures.
NCT00159965,16769930,2006,Neurology,Avoiding the costs of unrecognized psychological nonepileptic seizures.
NCT00159965,18070841,2007,The Journal of neuropsychiatry and clinical neurosciences,Methodological issues in conducting treatment trials for psychological nonepileptic seizures.
NCT00159965,19652140,2009,Neurology,Depression and symptoms affect quality of life in psychogenic nonepileptic seizures.
NCT00159965,20739647,2010,Neurology,Pilot pharmacologic randomized controlled trial for psychogenic nonepileptic seizures.
NCT00057642,23965261,2013,Psychiatry,Impact of motivational pharmacotherapy on treatment retention among depressed Latinos.
NCT00339066,18813343,2008,PloS one,Frontal white matter anisotropy and antidepressant remission in late-life depression.
NCT00229476,11772700,2002,The American journal of psychiatry,Changes in brain function of depressed subjects during treatment with placebo.
NCT00229476,12062912,2002,Neuropsychopharmacology : official publication of the American College of Neuropsychopharmacology,Early changes in prefrontal activity characterize clinical responders to antidepressants.
NCT00229476,15252704,2004,Psychopharmacology,Pretreatment neurophysiological and clinical characteristics of placebo responders in treatment trials for major depression.
NCT05588102,10513852,1999,The Journal of clinical psychiatry,Epidemiology and diagnosis of depression in late life.
NCT05588102,30658276,2019,European psychiatry : the journal of the Association of European Psychiatrists,Prevalence of late-life depression and gap in mental health service use across European regions.
NCT05588102,30611911,2019,Journal of affective disorders,The prevalence of late-life depression in a Portuguese community sample: A 10/66 Dementia Research Group study.
NCT05588102,30142588,2018,Journal of affective disorders,Prevalence of major depressive disorder in older adults in China: A systematic review and meta-analysis.
NCT05588102,22940498,2012,Journal of affective disorders,Incidence of late-life depression: a systematic review.
NCT05588102,39587504,2024,BMC psychiatry,"Efficacy and safety of Neurocognitive Adaptive Training for Depression combined with SSRIs for treating cognitive impairment among patients with late-life depression: a 12-week, randomized controlled study."
NCT00536198,18395582,2008,"Lancet (London, England)",Premenstrual syndrome.
NCT00536198,18328013,2008,Journal of women's health (2002),Development and validation of the Premenstrual Symptoms Impact Survey (PMSIS): a disease-specific quality of life assessment tool.
NCT00536198,17937566,2007,Journal of women's health (2002),Differences in symptom scores and health outcomes in premenstrual syndrome.
NCT00536198,17470584,2007,Obstetrics and gynecology,Using the daily record of severity of problems as a screening instrument for premenstrual syndrome.
NCT00536198,17454164,2007,Gynecological endocrinology : the official journal of the International Society of Gynecological Endocrinology,Clinical diagnostic criteria for premenstrual syndrome and guidelines for their quantification for research studies.
NCT00536198,22393222,2012,Archives of general psychiatry,Criteria for premenstrual dysphoric disorder: secondary analyses of relevant data sets.
NCT00536198,37212651,2023,Journal of clinical psychopharmacology,Does Symptom-Onset Treatment With Sertraline Improve Functional Impairment for Individuals With Premenstrual Dysphoric Disorder?: A Randomized Controlled Trial.
NCT00536198,26351969,2015,JAMA psychiatry,Symptom-Onset Dosing of Sertraline for the Treatment of Premenstrual Dysphoric Disorder: A Randomized Clinical Trial.
